"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16591","Open Target Application homepage","","Mon Jan 20 15:43:14 IST 2025","passed","Mon Jan 20 15:43:31 IST 2025","","Target Application Testing","",""
"","17419","Open Booking homepage","","Mon Jan 20 15:46:42 IST 2025","passed","Mon Jan 20 15:47:00 IST 2025","","Booking Application Testing","",""
"","61552","Click on a video from the search results","","Mon Jan 20 15:41:36 IST 2025","broken","Mon Jan 20 15:42:38 IST 2025","","YouTube Application Testing","",""
"","28250","Interacting with header options","","Mon Jan 20 15:41:02 IST 2025","passed","Mon Jan 20 15:41:30 IST 2025","","Testim Application Testing","",""
"","31498","Search for a video with dynamic query handling","","Mon Jan 20 15:41:05 IST 2025","broken","Mon Jan 20 15:41:36 IST 2025","","YouTube Application Testing","",""
"","21271","Open YouTube homepage and handle pop-ups","","Mon Jan 20 15:40:43 IST 2025","passed","Mon Jan 20 15:41:05 IST 2025","","YouTube Application Testing","",""
"","18629","Open Testim homepage","","Mon Jan 20 15:40:43 IST 2025","broken","Mon Jan 20 15:41:02 IST 2025","","Testim Application Testing","",""
